S. No,City, Juveniles Apprehended - Girls,18 and above and below 30 years - Female,30 and above and below 45 years - Female,45 and above and below 60 years - Female,60 years and above - Female
1,Ahmedabad (Gujarat),0,950,1290,668,146
2,Bengaluru(Karnataka),3,579,974,381,84
3,Chennai(Tamil Nadu),0,1117,2577,917,93
4,Coimbatore(Tamil Nadu),0,488,293,189,62
5,Delhi ,2,1003,834,266,22
6,Ghaziabad(Uttar Pradesh),0,5,1,1,0
7,Hyderabad(Telangana),0,150,129,30,1
8,Indore(Madhya Pradesh),6,248,198,74,11
9,Jaipur(Rajasthan),1,491,474,250,19
10,Kanpur(Uttar Pradesh),0,52,17,7,0
11,Kochi(Kerala),0,50,184,43,2
12,Kolkata(West Bengal),0,1112,862,269,0
13,Kozhikode(Kerala),0,33,77,43,18
14,Lucknow(Uttar Pradesh),0,0,0,0,0
15,Mumbai(Maharashtra),0,1323,1356,476,76
16,Nagpur(Maharashtra),2,160,217,67,18
17,Patna(Bihar),0,31,16,1,0
18,Pune(Maharashtra),0,357,473,242,66
19,Surat(Gujarat),2,283,479,423,55
