S. No,City, Juveniles Apprehended - Boys,18 and above and below 30 years - Male,30 and above and below 45 years - Male,45 and above and below 60 years - Male,60 years and above - Male
1,Ahmedabad (Gujarat),298,14488,12385,4264,463
2,Bengaluru(Karnataka),197,13577,9602,2531,430
3,Chennai(Tamil Nadu),816,13717,21194,16070,2007
4,Coimbatore(Tamil Nadu),35,3248,2674,759,224
5,Delhi ,3073,54129,30474,8769,514
6,Ghaziabad(Uttar Pradesh),0,1192,2241,837,0
7,Hyderabad(Telangana),377,2839,3376,1197,101
8,Indore(Madhya Pradesh),275,5396,2873,635,52
9,Jaipur(Rajasthan),404,7630,4533,2421,121
10,Kanpur(Uttar Pradesh),9,5360,2228,752,0
11,Kochi(Kerala),15,6253,5883,2588,191
12,Kolkata(West Bengal),19,6773,4216,1203,38
13,Kozhikode(Kerala),26,1373,1895,658,135
14,Lucknow(Uttar Pradesh),80,8192,0,0,0
15,Mumbai(Maharashtra),668,26772,18065,5265,542
16,Nagpur(Maharashtra),442,4918,4294,915,45
17,Patna(Bihar),15,4480,2839,902,0
18,Pune(Maharashtra),420,7848,5885,1655,177
19,Surat(Gujarat),621,13237,7708,2617,195
